plantparts,count
leaf,196
seed,100
root,100
fruit,88
bark,73
stem,72
herb,70
flower,55
rhizome,28
whole plant,27
latex,22
aerial parts,22
wood,20
shoot,17
peel,17
gum,15
branch,14
inflorescence,11
tuber,11
resin,10
gall,9
petal,6
husk,6
fresh leaf,5
pericarp,4
trunk,4
balsam,4
needle,4
pomace,3
whole plant,,3
berries,2
calyx,2
cone,2
twig,2
dry leaf,2
whole plant.,2
whole herb,2
spike,1
stalk,1
fresh leaf.,1
whole plant?,1
corolla,1
aerial parts.,1
