plantparts,count
leaf,333
root,157
seed,138
herb,116
fruit,103
stem,99
bark,73
flower,57
peel,31
aerial parts,30
rhizome,26
whole plant,25
gum,22
branch,19
latex,15
wood,15
inflorescence,15
shoot,11
needle,11
resin,9
tuber,9
berries,8
petal,7
fresh leaf,7
pericarp,5
husk,4
gall,3
pomace,2
dry leaf,2
whole plant.,2
trunk,2
aerial parts,,2
balsam,2
whole herb,2
aerial parts.,2
cone,1
calyx,1
whole herb,,1
fresh leaf.,1
whole plant,,1
corolla,1
whole fruit,1
