binomial,count
Ocimum sanctum,278
Ocimum basilicum,37
Escherichia coli,27
Enterococcus faecalis,27
Ocimum gratissimum,25
Staphylococcus aureus,25
Candida albicans,21
Ocimum tenuiflorum,19
O. sanctum,19
Pseudomonas aeruginosa,17
Withania somnifera,17
Curcuma longa,15
Azadirachta indica,15
Camellia sinensis,14
O. basilicum,13
Streptococcus mutans,12
Emblica officinalis,11
Arabidopsis thaliana,11
Botrytis cinerea,10
Colletotrichum gloeosporioides,10
Ocimum kilimandscharicum,10
O. tenuiflorum,9
Cinnamomum zeylanicum,9
O. americanum,9
Ocimum micranthum,9
Allium sativum,9
Fusarium oxysporum,8
Salvia miltiorrhiza,8
Ocimum americanum,8
Prevotella intermedia,8
Syzygium aromaticum,8
E. coli,8
Salvia guaranitica,8
O. gratissimum,8
Alternaria alternata,7
Acacia arabica,7
Porphyromonas gingivalis,7
Thymus vulgaris,7
Nicotiana tabacum,7
Vitis vinifera,7
Salvia officinalis,7
Streptomyces coelicolor,7
Ocimum canum,7
Rosmarinus officinalis,6
Ocimum citriodorum,6
Solanum lycopersicum,6
Medicago sativa,6
Terminalia chebula,6
Ocimum labiatum,6
Zingiber officinale,6
Fusarium graminearum,6
Peronospora belbahrii,6
Aloe barbadensis,6
Coptidis rhizome,6
Mangifera indica,6
Bacillus subtilis,6
Mentha piperita,6
Ocimum africanum,5
Tinospora cordifolia,5
Aspergillus flavus,5
Aspergillus niger,5
Andrographis paniculata,5
Desmostachya bipinnata,5
Brassica juncea,5
Aloe vera,5
Phyllanthus emblica,5
Pogostemon cablin,5
Nepeta cataria,5
Salvadora persica,5
O. kilimandscharicum,5
Momordica charantia,5
Aegle marmelos,5
Centella asiatica,5
Rhizoctonia solani,5
Ocimum vulgare,5
Centratherum anthelminticum,5
Psidium guajava,5
Bacillus pumilus,5
Origanum vulgare,5
C. longa,5
Salmonella typhimurium,5
Aggregatibacter actinomycetemcomitans,5
Oryza sativa,5
Chaetomium coarctatum,4
Listeria monocytogenes,4
Artemisia annua,4
Colletotrichum acutatum,4
Lavandula angustifolia,4
Aedes aegypti,4
Hyptis pectinata,4
Eugenia jambolana,4
Mimusops elengi,4
Macrophomina phaseolina,4
Catharanthus roseus,4
Agrobacterium thaliana,4
Meyerozyma phaseolina,4
Melissa officinalis,4
Sclerotinia sclerotiorum,4
Shigella flexneri,4
Citrus limon,4
Osimum sanctum,4
Fusarium proliferatum,4
Rhizopus stolonifer,4
Bacillus cereus,4
Thymus pulegioides,4
Brassica napus,4
Satureja scardica,4
Chelidonium majus,4
Rhizoctonia bataticola,4
Streptococcus aureus,4
Terminalia bellirica,3
Citrus sinensis,3
Diaporthe phaseolorum,3
Glechoma hederacea,3
G. biloba,3
Rhizopus oryzae,3
N. sativa,3
Adhatoda vasica,3
